timecard_entry_id,employee_id,work_date,org_path,home_org_path,job_code,clock_in,clock_out,worked_hours,paycode,scheduled_shift_id
T900000,E100056,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 06:00:00,2025-10-08 18:04:00,12.07,OT,S500000
T900001,E100007,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:10:00,2025-10-08 17:55:00,11.75,REG,S500001
T900002,E100052,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:07:00,2025-10-08 17:55:00,11.8,REG,S500002
T900003,E100058,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:02:00,2025-10-08 17:45:00,11.72,REG,S500003
T900004,E100020,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:04:00,2025-10-08 17:44:00,11.67,REG,S500004
T900005,E100003,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 05:57:00,2025-10-08 17:53:00,11.93,REG,S500005
T900006,E100060,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:01:00,2025-10-08 18:01:00,12.0,REG,S500006
T900007,E100059,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:08:00,2025-10-08 18:12:00,12.07,OT,S500007
T900008,E100038,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 17:58:00,11.97,REG,S500008
T900009,E100036,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:03:00,2025-10-08 18:00:00,11.95,REG,S500009
T900010,E100043,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:15:00,2025-10-08 17:50:00,11.58,REG,S500010
T900011,E100050,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:02:00,2025-10-08 18:01:00,11.98,REG,S500011
T900012,E100010,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 06:11:00,2025-10-08 18:07:00,11.93,REG,S500012
T900013,E100016,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:08:00,2025-10-08 17:43:00,11.58,REG,S500013
T900014,E100065,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:12:00,2025-10-08 17:51:00,11.65,REG,S500014
T900015,E100008,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:04:00,2025-10-08 18:00:00,11.93,REG,S500015
T900016,E100046,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:11:00,2025-10-08 18:10:00,11.98,CALL,S500016
T900017,E100053,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 06:13:00,2025-10-08 17:51:00,11.63,OT,S500017
T900018,E100068,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 06:02:00,2025-10-08 18:01:00,11.98,REG,S500018
T900019,E100021,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:05:00,2025-10-08 18:00:00,11.92,REG,S500019
T900020,E100009,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 06:25:00,2025-10-08 18:05:00,11.67,REG,S500020
T900021,E100011,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 17:58:00,11.97,REG,S500021
T900022,E100010,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:05:00,2025-10-09 01:56:00,11.85,REG,S500023
T900023,E100006,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:04:00,2025-10-09 02:01:00,11.95,REG,S500024
T900024,E100048,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:03:00,2025-10-09 02:00:00,11.95,REG,S500025
T900025,E100018,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 13:51:00,2025-10-09 01:53:00,12.03,OT,S500026
T900026,E100008,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:04:00,2025-10-09 01:56:00,11.87,REG,S500027
T900027,E100004,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:00:00,2025-10-09 02:08:00,12.13,OT,S500028
T900028,E100061,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:09:00,2025-10-09 01:54:00,11.75,REG,S500029
T900029,E100019,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:01:00,2025-10-09 01:55:00,11.9,REG,S500030
